Message,Ciphertext,Key
19473,35842,37502
34015,30832,58143
21625,29797,25874
45437,36127,65047
34282,7667,16235
11754,49843,37373
40788,56807,11630
49609,14700,46052
49751,48035,40888
869,21178,53198
62031,30543,29439
26821,28948,33728
43089,41469,48672
51236,61211,30409
6494,53798,30911
45227,38518,23623
7147,50259,18044
29724,50760,64460
11959,40150,20823
54300,55894,14917
18005,14693,63388
18161,15834,43217
42518,45330,36976
38113,1157,15877
1622,21232,32900
14789,22505,25031
29830,34026,18569
19660,14401,52018
18148,20340,19484
63624,5448,4800
33226,62464,57669
43769,28284,32664
57096,64383,38318
1957,16647,45695
17209,64994,46257
42075,3262,40114
64657,8626,32879
52640,20457,36839
61121,40287,26764
53702,55937,46892
5588,28006,23559
3713,20407,40870
9836,51278,47317
14574,48504,41709
50805,27448,10912
5199,7845,63099
44361,12627,1031
12803,44250,209
45270,48203,39458
14183,19988,15516
10026,30177,23616
21331,30948,15516
62495,40582,5266
30912,48354,26718
42235,56162,30696
33762,6332,52982
31546,61447,19866
17080,21196,30665
41783,5902,61096
53437,29683,13727
56195,50902,50727
50566,53151,20480
16670,63701,45117
22755,58724,32322
63037,46816,54764
35383,10774,35530
58757,22191,46154
37157,44197,26568
14431,42358,4799
19853,61046,42676
38574,18288,37912
22774,5278,3753
22839,41650,41734
9483,37145,7509
51382,55474,44389
61221,43002,40889
43541,10879,55306
60050,19707,2517
60641,38757,13409
51249,13510,9299
36751,1525,21727
38207,2993,47720
9897,63547,38346
33154,14387,56972
15006,49783,6884
3171,35402,47625
64011,56571,35559
57272,4622,36317
4729,36263,5220
40513,34361,1918
32893,55,40669
12111,11277,16160
36241,28232,9830
53541,30729,25310
11833,60249,45350
6932,59158,16090
40393,25360,4528
5614,35381,39346
53453,46513,29446
28277,37698,56007
33170,12956,30002
33007,52710,45495
46539,61190,6892
3035,18566,59239
19763,10588,35880
3684,53870,61179
21108,45642,42968
27442,33173,14994
46878,18350,57451
52993,12664,61028
53877,34470,17530
58272,22428,36503
61228,5250,55377
31446,59340,58420
59720,11733,5563
37545,47340,62092
8074,46473,51370
18218,174,1302
57731,33024,14707
39699,2366,443
31354,41792,40443
63875,31908,32043
33201,60248,47508
48472,50934,11221
45422,59323,2441
15757,45988,35676
10974,15553,47856
56678,9954,47139
8378,64094,38603
4196,62254,23595
63813,5657,46198
4324,35555,42164
49373,14066,29591
45044,18561,28503
21049,31564,18653
23013,46799,15045
39664,19573,43852
9814,62082,32958
52129,17982,51988
17598,11730,18123
58278,55002,64122
10749,61502,14824
40295,24728,23351
40837,17496,58789
3266,61551,34004
60357,48731,59135
1841,54095,29145
30515,2081,41804
38608,55514,21484
29073,7685,8667
64360,17608,50834
46067,49989,41506
19443,29553,20713
3443,34094,7481
20745,28426,17976
4663,4678,33795
1690,42271,38923
28987,3106,17376
44629,19041,48362
21817,60902,36724
3739,42107,62918
61243,8016,37057
14985,64202,36880
22644,64912,18711
16279,10044,65531
10141,24522,20385
29513,41846,17959
5733,30039,20965
12475,31660,10331
1038,39828,43214
19640,58364,1223
14834,22774,46531
26336,21248,48220
23262,49345,24651
51217,32733,42585
38730,41697,29312
25314,60026,59776
51140,63803,31948
38058,14522,40372
2846,19847,42331
52522,40363,59754
64293,15622,5696
50495,13402,49013
16455,24433,45118
37261,59298,38203
40362,24892,57776
35962,57187,49068
11342,34872,39673
11743,43162,4478
42321,37578,19638
41307,56854,61462
29127,48444,49707
10934,47875,11604
16565,36789,38705
54624,23343,65348
13635,45694,47256
23688,52423,22772
275,32013,44707
20769,22221,320
61675,57549,18455
45059,62071,40886
36583,42565,61050
47765,45236,16438
25092,24199,49730
32572,7996,17738
47175,43700,39212
46072,16321,9284
32376,14426,64285
7618,12689,11890
46341,7180,21579
43126,14294,57205
27119,16129,29023
17383,22161,2758
19358,19142,3581
17264,63225,27468
44589,26867,59467
13720,2066,37282
32212,904,45672
58568,56488,19235
33402,16019,24823
36067,21852,37809
18775,30116,38361
18256,21415,61959
12031,60852,52882
27480,32580,2195
5711,43712,40591
39112,49228,62451
4263,40154,21691
47118,16891,42849
45947,52012,43355
2124,42335,19677
45236,37595,33839
42896,18777,8836
7565,24433,10542
54262,31086,15268
62283,47384,53747
12046,43142,28906
20923,55633,42073
25191,22692,48488
51851,12120,56404
8884,9949,20565
53506,23587,62743
65323,58203,2149
29767,8197,7808
29443,7528,23776
59453,59360,17463
44045,43759,13371
61851,14508,42277
43506,24588,23395
24425,39271,39320
38201,31152,18174
39176,62886,36096
37428,46564,45695
49137,62370,21286
17555,61868,9137
31830,40643,51895
12763,10906,63694
40872,48910,44086
23629,14590,28924
43232,62504,13322
21974,2315,54887
21299,41312,60496
49487,18938,24629
27146,42377,59171
16810,37070,7685
41086,21507,20477
44487,24344,1915
60835,9787,64880
65506,38692,63487
58587,14724,14987
13995,22201,6040
31338,52478,39330
44752,13429,47882
17225,41759,62675
48746,13928,54666
28602,16162,33503
60800,19639,39519
17203,2390,27041
24402,19188,32655
5890,60271,45
23307,22782,16227
4585,47271,49174
26353,32258,34920
17637,24472,11100
63945,27758,15441
62835,49016,13425
19956,6006,1321
61240,30564,39933
60959,29947,15860
3535,30564,26365
13147,54429,64407
28182,25104,29470
12673,42820,53533
24045,23349,41172
2946,7202,52575
62822,54315,5570
14687,62832,52720
53862,21039,21979
49744,48961,12010
35660,49055,4268
11435,7880,53709
6657,29191,12274
3651,63154,8527
63708,1181,26376
4436,49889,18982
13300,54271,16308
18745,7583,58484
12029,5710,3622
15226,18102,46781
52203,6303,27046
592,14990,22766
41098,17363,31707
42871,53268,44527
24943,56953,34476
29443,59185,13262
48359,13748,16724
46631,39514,22756
32481,21609,56757
5439,50964,4805
44163,28108,34389
40923,25627,20745
43979,14147,64092
32381,48070,21859
2581,21509,58741
50722,14770,5559
61903,11754,36038
31206,9930,25094
48335,44834,36807
30773,22429,11071
11067,9773,58821
20549,47093,13348
47240,52977,56888
45678,15465,21633
56859,256,1325
50784,36504,34288
60976,37079,54298
43562,2402,22066
25557,428,49472
2095,4089,13462
31514,17787,43645
42557,47999,19594
64835,390,37545
4433,4785,57041
32263,37808,8779
19671,40598,43548
30380,57741,36157
25294,6781,61633
57006,20599,36594
62668,51153,60388
14453,64362,25951
61579,29036,64807
60877,61814,20511
36682,63183,40525
