"Question"	"Answer"
"1. NU prezintă cili:
1. celulele epiteliului tubului contort proximal
2. celulele senzoriale auditive
3. celulele senzoriale ale crestelor ampulare
4. celulele receptoare maculare
5. celulele receptoare olfactive"	"1"
"2. Este incorect să afirmăm că:
1. partea bazală a maculei are celule de susținere
2. partea bazală a enterocitului absoarbe glucoză prin transport activ Na dependent
3. partea bazală a mugurelui gustativ vine în contact cu terminații nervoase senzoriale
4. partea bazală a organului Corti stă pe membrana bazilară
5. partea bazală a epidermului este avasculară"	"2"
"3. Una dintre următoarele structuri NU face parte din spațiul mort:
1. traheea
2. bronhiola respiratorie
3. bronhia principală
4. bronhiola lobulară
5. laringele"	"2"
"4. Identificați afirmația falsă despre închiderea valvelor semilunare aortice:
1. are loc în timp ce miocardul atrial se relaxează
2. se produce când presiunea sângelui din ventriculul stâng o depășește pe cea din aortă
3. se produce la începutul diastolei izovolumetrice
4. se produce la începutul diastolei generale
5. are loc când presiunea din ventriculul stâng scade sub valoarea presiunii din aortă"	"2"
"5. Hormonii secretați la nivel abdominal NU includ:
1. eritropoietina
2. ptialina
3. estrogenii
4. gastrina
5. insulina"	"2"
"6. Unul dintre oasele de mai jos este intersectat de planul mediosagital:
1. scapulă
2. coxal
3. nazal
4. atlas
5. claviculă"	"4"
"7. Șanțurile de pe suprafața cerebelului NU separă:
1. paleocerebelul de neocerebel
2. pedunculii cerebeloși mijlocii de cei inferiori
3. lamelele
4. foliile
5. lobulii"	"2"
"8. Care dintre substanțele secretate în lumenul intestinal are originea la nivelul intestinului subțire?
1. secreția glandelor Brunner
2. tripeptidaza
3. tripsina
4. colecistokinina
5. lipaza intestinală"	"1"
"9. Din trunchiul nervului spinal NU pleacă:
1. fibre cu strangulații Ranvier prin ramura comunicantă albă
2. fibre somatomotorii alfa și gama prin ramura ventrală
3. fibre amielinice prin ramura comunicantă cenușie
4. fibre vasomotorii prin ramura meningeală
5. niciun răspuns corect"	"3"
"10. Sinapsele adrenergice lipsesc de la nivelul:
1. peretelui intestinal
2. splinei
3. ganglionilor laterovertebrali
4. detrusorului vezical
5. nodulului sinoatrial"	"3"
"11. Următoarea structură nu este formată din țesut conjunctiv:
1. măduva galbenă din oasele lungi
2. membrana bazilară
3. albugineea ovarului
4. sclerotica
5. componenta ciliată a organului Corti"	"5"
"12. Următoarele celule NU au formă globuloasă:
1. limfocitele
2. celulele din structura epiglotei
3. celulele măduvei galbene din diafiza oaselor lungi
4. zigotul
5. celulele din tunica internă a vaselor de sânge"	"5"
"13. La nivel renal, apa NU se reabsoarbe la nivelul:
1. tubului contort distal
2. capsulei Bowman
3. ansei Henle
4. tubului colector
5. tubului contort proximal"	"2"
"14. Poate fi controlată hormonal secreția unuia dintre compușii de mai jos:
1. calciferol
2. retinol
3. piridoxină
4. riboflavină
5. filochinonă"	"1"
"15. În formarea limfocitelor NU este implicat/implicată:
1. măduva hematogenă
2. ganglionul limfatic
3. timusul
4. splina
5. canalul toracic"	"5"
"16. Nervul vag NU stimulează secreția:
1. glandelor intestinale
2. glandelor mucoase de la nivelul plămânului
3. glandelor oxintice
4. acinilor pancreatici
5. vezicii biliare"	"5"
"17. Identificați enunțul eronat referitor la filtrarea glomerulară:
1. se realizează activ și pasiv
2. are un debit de 125 ml/min
3. este principala modalitate de curățire a plasmei de cataboliții azotați
4. permite trecerea unei mari părți de subtanțe utile în urina primară
5. este favorizată de presiunea din capilarele glomerulare"	"1"
"18. Toate elementele figurate:
1. emit pseudopode
2. își păstrează forma globuloasă în stadiul de celulă adultă
3. au mitocondrii
4. au hialoplasmă
5. au nucleu"	"4"
"19. Artera mezenterică inferioară vascularizează:
1. partea superioară a rectului
2. canalul anal
3. flexura colică stângă
4. colonul sigmoid
5. niciun răspuns corect"	"134"
"20. Anionul HCO3- se găsește în:
1. urina primară
2. secreția pancreatică
3. urina finală
4. secreția salivară
5. niciun răspuns corect"	"1234"
"21. Fibrele elastice sunt prezente în structura:
1. peretelui canalului toracic
2. peretelui venos
3. perimisiumului
4. peretelui aortic
5. niciun răspuns corect"	"1234"
"22. Următoarele secreții produc prin hidroliză compuși absorbabili:
1. pancreatică
2. gastrică
3. salivară
4. biliară
5. niciun răspuns corect"	"12"
"23. Despre mușchiul mare dorsal putem afirma:
1. se află lateral de aponevroza lombară
2. conține și celule musculare modificate
3. prezintă elasticitate
4. primește fibre nervoase ce pot induce reacții vasomotorii
5. niciun răspuns corect"	"1234"
"24. La nivel renal, K+:
1. se excretă
2. se reabsoarbe
3. se secretă
4. se filtrează
5. niciun răspuns corect"	"1234"
"25. Toate venele transportă prin intermediul plasmei:
1. substanțe anorganice
2. oxigen
3. cataboliți
4. CO2
5. niciun răspuns corect"	"1234"
"26. Asupra glandei mamare acționează:
1. hormoni cu structură lipidică
2. hormoni secretați de celule epiteliale
3. hormoni non-glandulotropi
4. neurohormoni
5. niciun răspuns corect"	"1234"
"27. Boala Addison se caracterizează prin:
1. hipotensiune
2. pierdere de apă
3. pierdere de Na
4. adinamie
5. niciun răspuns corect"	"1234"
"28. Neurohormonii care pot influența secreția exocrină sunt:
1. catecolaminele
2. gonadostimulinele
3. prolactina
4. ADH
5. niciun răspuns corect"	"14"
"29. Oasele pereche care se articulează unul cu altul sunt:
1. maxilarele
2. coxalele
3. temporalele
4. parietalele
5. niciun răspuns corect"	"124"
"30. În timpul contracției, în celula musculară se formează:
1. CO2
2. PC
3. ATP
4. ADP
5. niciun răspuns corect"	"134"
"31. Se află celule musculare în structura:
1. dermului
2. cristalinului
3. ureterului
4. pupilei
5. niciun răspuns corect"	"13"
"32. Glandele bulbouretrale se caracterizează prin:
1. au secreție endocrină
2. secretă un lichid clar
3. sunt situate la baza prostatei
4. conțin celule mucoase
5. niciun răspuns corect"	"24"
